code;Municipality;Pop_est_2022
20010;Bar;43950
20028;Bijelo Polje;40500
20036;Budva;22984
20206;Cetinje;14538
20044;Danilovgrad;18340
20192;Herceg Novi;30150
20079;Berane;25683
20087;Kolašin;6777
20095;Kotor;22540
20109;Mojkovac;6965
20117;Nikši?;67180
20125;Plav;8154
20133;Plužine;2445
20141;Pljevlja;25402
20150;Rožaje;22853
20214;Šavnik;1695
20176;Podgorica;205246
20168;Tivat;15377
20184;Ulcinj;19985
20052;Žabljak;2951
20222;Andrijevica;4274
20265;Petnjica;5227
20273;Gusinje;3997
